Designator,Mid X,Mid Y,Rotation,Layer
C1,139.2936,-79.9338,270.0,top
C10,146.104749,-69.012799,0.0,top
C11,148.927949,-73.953399,0.0,top
C12,148.4376,-69.1722,270.0,top
C13,137.447149,-73.8632,180.0,top
C14,143.3068,-80.1624,270.0,top
C15,136.6,-54.25,90.0,top
C16,134.2,-58.0,180.0,top
C17,147.955,-71.1708,90.0,top
C18,146.558,-80.98,270.0,top
C19,148.955949,-74.893199,0.0,top
C2,137.1092,-82.7786,0.0,top
C20,140.267394,-80.664049,270.0,top
C21,137.802749,-75.604399,180.0,top
C22,138.1024,-70.7644,180.0,top
C23,142.231149,-69.158999,90.0,top
C27,142.6972,-57.2516,180.0,top
C3,144.8,-83.4,90.0,top
C4,136.4996,-49.9872,90.0,top
C5,139.7508,-85.6742,90.0,top
C6,145.9256,-86.8172,0.0,top
C7,133.8,-50.8,0.0,top
C8,130.4544,-55.4456,270.0,top
C9,146.104749,-69.987799,0.0,top
D1,146.3294,-88.7984,0.0,top
D2,149.86,-47.2695,270.0,top
H1,132.429259,-47.475276,0.0,top
H2,153.7208,-47.498,0.0,top
H3,132.253928,-102.282845,0.0,top
H4,154.075,-102.33,0.0,top
J1,143.002,-48.6225,180.0,top
J2,152.866,-53.5846,90.0,top
J3,143.05,-101.9048,0.0,top
J4,143.05,-92.868475,0.0,top
J5,130.81,-77.6986,0.0,top
J6,155.266966,-77.475323,180.0,top
L1,139.8,-55.0,90.0,top
L2,146.184749,-67.462799,0.0,top
NT1,132.842,-56.388,90.0,top
R1,145.9464,-85.852,0.0,top
R10,147.2692,-59.1312,90.0,top
R11,148.4376,-67.2572,90.0,top
R12,134.6708,-83.2612,270.0,top
R13,142.881149,-67.258999,270.0,top
R14,143.881149,-67.858999,270.0,top
R15,149.606,-49.276,0.0,top
R16,134.5184,-62.865,90.0,top
R17,137.0,-57.090001,90.0,top
R2,141.5796,-83.5172,90.0,top
R3,139.2936,-81.8388,270.0,top
R4,142.4,-53.6,270.0,top
R5,144.6,-53.0332,270.0,top
R6,140.589,-83.5172,90.0,top
R7,147.8026,-86.7918,0.0,top
R8,130.683,-53.592,270.0,top
R9,133.602,-52.3494,180.0,top
SW1,148.74,-62.58,90.0,top
SW2,136.144,-86.868,90.0,top
U1,142.8345,-86.626,0.0,top
U2,133.354,-54.8326,180.0,top
U3,143.131149,-74.769199,0.0,top
U4,140.731149,-60.608999,270.0,top
Y1,137.0076,-80.1702,270.0,top
