Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15p,
"C10, C12, C14, C5, C6, C9",0402,6,4.7u,
"C11, C13, C17, C18, C19, C20, C21, C22, C23, C27, C8",0402,11,100n,
"C15, C16, C4, C7",0805,4,10u,
C3,0402,1,1u,
D1,0805,1,ORANGE,C2296
D2,0603,1,RED,C2286
J1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,SHOU_HAN_USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,C131337
J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_MountingPin,C160389
J4,CONN-SMD_AFC01-S22FCA-HF,1,0.5mm FPC,C49260526
"J5, J6",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x13,
L1,IND-SMD_L3.9-W3.9,1,2.2uH,C20416998
L2,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3uH,
R1,0402,1,1.18k,
R10,0402,1,1k,
R11,0402,1,33R,
"R12, R15, R17, R6",0402,4,10k,
"R13, R14",0402,2,27R,
R16,0805,1,0,
R2,0402,1,1.13k,
R3,0402,1,50,
"R4, R5",0402,2,5k1,
R7,0402,1,1.5k,
R8,0402,1,100,
R9,0402,1,100k,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,C720477
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,C54313
U2,Texas_DRC0010J_ThermalVias,1,TPS63000-Q1,C28060
U3,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354A,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
